Area code,Area name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E06000001,Hartlepool,63,64.7,64.6,63.9,65.2,60.4,61.6,58.4,59.2,61.6,62.6,64.2,64.4,62.3,63.9,67.6,66.9,68.6,68.2,67.9
E06000002,Middlesbrough,63.6,65.2,65.6,65.4,62.5,62.2,59,55.5,58.6,60.3,61.5,63.5,65.6,64.1,63.2,62.9,65,65.3,65.9,64.4
E06000003,Redcar and Cleveland,69.1,66.6,68.7,67.8,64.4,62.8,62.1,60.7,64.3,65.3,67.5,67.7,68.2,68.5,69,67.4,68.3,65.9,69.8,74.3
E06000004,Stockton-on-Tees,70.6,72.3,70.9,70.2,68.2,68.9,70.1,70.3,68.4,70.9,70.4,73.5,70.8,71.9,70,71.3,74.4,71.6,73.7,74.1
E06000005,Darlington,74.2,72.8,73.5,71.9,72.1,68.5,70.8,67.8,68.5,72.9,71.9,72.5,74.8,74.4,75.6,74.2,74,76.5,76.6,81.2
E06000006,Halton,64.6,70.9,66.9,68.8,68.1,64.9,67.4,68.5,67.4,67.5,69.2,75.3,71.9,74.9,73.3,77.6,73,75.9,77.8,69.5
E06000007,Warrington,75.8,76.2,76.8,74.1,75.9,74.4,76.6,74.4,76.9,78.2,77.9,77.9,76.2,77.4,76,80.4,80.4,79.5,77.7,80.2
E06000008,Blackburn with Darwen,68.7,66.6,65.2,66.3,64.6,64.1,62.6,60.6,62.9,63.5,63.8,64.8,65.6,64.4,66.9,68,67.2,67.2,69.2,67.6
E06000009,Blackpool,68.8,69.1,68.4,66.3,69.4,68.6,67.7,66.6,68.1,68.1,64.9,72,71.1,72.3,70.1,72.8,72.5,70.7,72.2,69.7
E06000010,Kingston upon Hull,68.6,65.9,64.6,64.6,60.8,61.1,62.4,62.5,60.6,63.1,64.8,67,68.5,69.5,73,71.1,73.6,71,70.3,73.2
E06000011,East Riding of Yorkshire,74,76,76,76.9,74.4,74.7,73.6,73.8,73.6,73.2,76.6,76.3,77.5,77.8,77.1,78.9,74.7,77.5,77.6,77.3
E06000012,North East Lincolnshire,71.2,70.6,71.5,71.6,70.5,68.8,70,67.2,68.1,68.3,69.4,71,71.1,69.9,72.8,70.8,72.6,72.5,71.7,73.5
E06000013,North Lincolnshire,73.4,73.9,74.5,74,73.1,70.6,71.3,72.7,71.9,74.2,73.9,71.7,72.6,74.9,70.6,72.3,73,71.7,78.3,75
E06000014,York,78.1,77.2,76.6,75.2,76.5,72.8,70.9,74.5,78,72.9,72.8,76.4,78.1,74.9,79.3,79.2,77.9,80.5,85.5,79.4
E06000015,Derby,68.6,68.6,69.7,70.3,72,71.8,68.6,69.7,70.2,70.8,72.8,73.2,74.2,71.3,74.2,74.2,75.1,73.7,74.5,79.8
E06000016,Leicester,64,63.8,67.8,66.7,62.3,63.1,62.4,60.8,62.5,62.1,63.7,62.5,62.8,66.8,66.7,71.1,72.2,63.7,69.7,65.1
E06000017,Rutland,76.2,77.9,77.1,78.5,74.6,75.4,77.4,78.9,75.9,78.6,79.9,76.6,79.5,81.1,77.4,77.1,71.4,75.2,78.7,80.3
E06000018,Nottingham,62.8,64.2,64,62.5,63.9,57.1,55.4,59,59.5,58.1,62.8,64.2,62.6,57.4,63.3,63.9,71.7,71.7,63.7,66.1
E06000019,Herefordshire,79.4,75.4,78.3,75,75.8,76.5,75.1,72.6,72.7,73.9,76.7,77.9,75.8,78.7,81.1,83,78,77.9,75.3,80.5
E06000020,Telford and Wrekin,73.8,76.2,72.9,70.8,74.2,69.1,68.8,68.8,68.6,71.6,72,73.3,76,72.9,72.7,76.8,73.7,73.1,74.7,74.6
E06000021,Stoke-on-Trent,67.4,67.4,68.2,68.4,67.1,65,65.8,66.2,65.4,65.9,68.5,68.2,71.7,70.3,68.8,72.5,75.4,76.5,71.9,75
E06000022,Bath and North East Somerset,76,78.7,72.5,75,76,72.6,71.3,70.1,73.8,73.8,73.3,76.4,76.1,76.7,79.9,77.5,82,78.8,74.6,78
E06000023,Bristol,73.4,73.1,74.5,72.4,72.8,72.1,74.3,71.1,70.8,70.2,70.9,76.2,75.6,78.2,77.1,76.7,77.2,78,78.5,76.1
E06000024,North Somerset,75.3,76.1,79.7,80.7,79.7,75.6,77.3,75.7,71.5,75.5,75.9,78.7,79.4,80.5,80.6,80.7,81.3,81.5,81.4,79.9
E06000025,South Gloucestershire,82.3,82,81.9,80.8,82.1,79.8,79.6,76.7,78.5,77.3,81.3,79.9,79,79.4,81.1,82.2,81.8,81.5,84.3,85
E06000026,Plymouth,72.4,70.6,71.2,71.7,71.3,71.4,69.4,69.8,70.3,70.1,72.7,73.6,73.8,74.7,75.8,74,75.7,75.4,73.6,72.9
E06000027,Torbay,69.7,70.4,72.7,72.5,71.7,70.3,67.8,68.4,70.5,70.2,71.1,75.2,74.7,75.7,75,74.9,72.1,75.2,76,74.1
E06000030,Swindon,78.5,78.3,78.9,82.7,78.2,77.3,76.7,73.4,72.9,75.9,77.2,77.3,80.3,79.7,79.2,80.1,79.2,75.1,74.5,80.3
E06000031,Peterborough,75.8,73.8,73.2,72.5,72.5,69.7,68.3,70.2,69.2,74.3,74.4,74.8,74.7,72.4,74.8,74.7,74.6,74.8,79.3,80
E06000032,Luton,71,67,67.9,65.9,66.8,66.1,68,64.6,64.7,68.7,66.4,67.8,67.3,71.6,71.4,70.4,70.5,69.9,67.5,70.5
E06000033,Southend-on-Sea,75.4,73.6,73.6,73.8,73.1,72.2,72.4,69.6,71,71.3,70.9,75.6,76.1,76.9,80.4,77.3,78.9,78.9,75.7,75.6
E06000034,Thurrock,76.3,74.9,73.5,75.4,73.5,71.8,70.6,70,70.6,75.3,73.4,72.8,72.7,75,75.9,77.1,76.8,76.5,78.1,78.1
E06000035,Medway,73.6,74,74.7,75.9,72.7,67.9,68.4,69.5,70.6,68.5,71.1,69.8,74.8,76.8,77.8,77.9,74.8,77.8,81.2,76.9
E06000036,Bracknell Forest,81.6,81.8,81.3,82,83.8,80.2,81.3,79.3,77.6,83.1,80,83.2,83.3,83,85,84.1,80,77.4,78,80.3
E06000037,West Berkshire,79.7,80.8,81.4,82.5,82.4,79.7,81.8,77.8,78.3,80.9,82.1,83.1,81.3,81.4,82.2,83.5,82.4,84.6,80.3,81.6
E06000038,Reading,75.8,76,78.4,76.4,76.2,75.2,71.9,74.1,73.3,73.9,73.8,73.2,76,77.6,77.1,79.2,81.1,80.9,78.6,86.1
E06000039,Slough,73.2,74.3,74,71.5,72,71.5,69,68,68.9,69.6,71.1,74.9,74.3,75.8,74.5,75.1,69.3,70.5,74.5,80.7
