Area code,Area name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E06000001,Hartlepool,370.5,363.1,383.7,368.5,391.4,403.1,385.6,408.8,428.2,431.6,434.6,442.4,451.4,489.3,496.9,521.2
E06000002,Middlesbrough,308.1,313.4,325.8,304.7,340.4,318.5,332.7,365.7,355.6,364.3,378.5,397.6,414.6,422,452.5,481.9
E06000003,Redcar and Cleveland,337.2,325.9,332.2,347.4,333.8,369.2,362.1,381,385,387.6,393.7,397.2,417.2,436.6,440.8,478.1
E06000004,Stockton-on-Tees,344.4,385.4,375.4,387.4,405.3,421.4,407.2,399.6,416.2,435.7,423.6,453.5,467.6,471.4,511.6,525.5
E06000005,Darlington,348.6,370.2,378.7,354.7,347.7,381.7,386.9,402,437.2,416.2,415.1,440.4,427.9,502.4,480.4,530.5
E06000006,Halton,345.9,370.7,357.5,368,377.6,407.4,381.9,406,429.5,403.6,425.2,426.4,463.9,478.3,487,559.5
E06000007,Warrington,410.2,424.2,428.5,402.7,411.8,417.9,439,454.7,460,478.9,468.8,489.3,463.5,506.3,536.6,586.7
E06000008,Blackburn with Darwen,345,342.7,343.4,320.2,317.2,349.3,341,344.8,355.4,350.7,383.2,400,403.2,430,462.8,496
E06000009,Blackpool,306.8,300.9,306.9,290.8,313.2,294.1,306.3,318.2,332.1,338.8,351,379.1,369.7,401.2,407.5,463.7
E06000010,Kingston upon Hull,333.4,313,313.2,316.6,319,334.7,334.5,343.3,358.5,364.7,379.6,400,392.5,438.5,466.3,506
E06000011,East Riding of Yorkshire,407.1,397.2,404.6,396.9,398.2,398.2,412.4,403.3,412.9,421.9,438.7,490.4,445.2,492.5,536,565.4
E06000012,North East Lincolnshire,356.3,368.5,341.9,355.2,340.9,360,358.6,354.3,359.9,365.1,398.8,415.2,442.2,447.4,492.7,549.4
E06000013,North Lincolnshire,394.8,377,383.5,395.5,404.3,422.2,435.9,417.1,408.3,414.6,424.1,407.5,421.5,474.9,512.3,560.4
E06000014,York,365.3,392.1,380.2,382.9,387.4,389.8,388.6,408.2,411.7,422.4,406,469.2,455.5,480.1,506.1,550.1
E06000015,Derby,387.1,378.4,396.2,386.6,414.4,410.9,434.7,423.7,443,461.1,482.6,491.2,485,495.2,500.9,546.6
E06000016,Leicester,315.6,334.8,329.7,325.9,342.6,356.7,338.7,343,362.3,371.1,369.9,394.7,382.7,436.7,448.1,459
E06000017,Rutland,431.2,455.4,444.9,433.5,435.8,451.8,419.2,449.2,414.4,458.6,458.8,534.5,439,567.5,607.8,717.4
E06000018,Nottingham,343.5,345,354.6,357.9,353.4,353.7,339.8,350.2,358.5,364.1,383.3,399.5,410.9,410.4,432.8,471.4
E06000019,Herefordshire,321,328,336.2,331.6,334.2,327.9,351.1,355.1,361.3,382.5,379.9,418.8,406.6,449,457.2,523.4
E06000020,Telford and Wrekin,362.1,345,363.1,356.1,375.1,386.6,366.9,370.4,383.3,399.9,415.9,427.9,445.4,455.2,518.4,574.9
E06000021,Stoke-on-Trent,336.8,344.4,348,347.2,348.9,375.9,364,369.2,383.3,402.5,406.3,422,445.1,460,472.6,504.9
