Area code,Area name,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
E06000001,Hartlepool,7.48,7.32,7.48,7.66,7.56,7.56,7.49,7.56,7.6,7.33,7.42,7.29
E06000002,Middlesbrough,7.41,7.39,7.41,7.53,7.72,7.64,7.62,7.61,7.45,7.21,7.5,7.35
E06000003,Redcar and Cleveland,7.45,7.53,7.57,7.6,7.63,7.63,7.72,7.71,7.59,7.44,7.5,7.25
E06000004,Stockton-on-Tees,7.54,7.53,7.6,7.7,7.61,7.72,7.79,7.68,7.66,7.4,7.3,7.33
E06000005,Darlington,7.5,7.46,7.59,7.68,7.62,7.61,7.74,7.73,7.71,7.25,7.37,7.32
E06000006,Halton,7.43,7.39,7.37,7.57,7.61,7.56,7.63,7.62,7.55,7.29,7.34,7.49
E06000007,Warrington,7.52,7.51,7.53,7.69,7.62,7.83,7.85,7.76,7.79,7.21,7.43,7.45
E06000008,Blackburn with Darwen,7.11,7.27,7.26,7.54,7.59,7.54,7.78,7.8,7.83,7.43,7.42,7.24
E06000009,Blackpool,7.13,7.34,7.38,7.31,7.45,7.46,7.46,7.55,7.54,7.16,7.44,7.49
E06000010,Kingston upon Hull,7.42,7.34,7.34,7.44,7.48,7.56,7.64,7.62,7.58,7.14,7.25,7.38
E06000011,East Riding of Yorkshire,7.56,7.63,7.67,7.7,7.79,7.93,7.88,7.94,7.94,7.74,7.69,7.4
E06000012,North East Lincolnshire,7.47,7.36,7.46,7.51,7.65,7.6,7.74,7.73,7.72,7.42,7.38,7.71
E06000013,North Lincolnshire,7.47,7.46,7.56,7.68,7.62,7.8,7.77,7.62,7.65,7.45,7.77,7.66
E06000014,York,7.57,7.66,7.6,7.69,7.82,7.77,7.74,7.69,7.75,7.46,7.65,7.57
E06000015,Derby,7.24,7.42,7.37,7.45,7.54,7.47,7.63,7.7,7.57,7.35,7.35,7.36
E06000016,Leicester,7.45,7.4,7.39,7.5,7.43,7.51,7.44,7.77,7.66,7.41,7.57,7.36
E06000017,Rutland,7.82,7.73,7.83,7.85,7.8,7.96,7.87,7.75,7.8,7.48,7.76,7.74
E06000018,Nottingham,7.45,7.42,7.42,7.36,7.35,7.38,7.42,7.49,7.38,7.12,7.25,7.24
E06000019,Herefordshire,7.55,7.52,7.57,7.64,7.71,7.73,7.84,7.86,7.8,7.52,7.55,7.64
